gene.x,gene.y,weight.Integrated_score,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Integrated score,interaction,name,selected,shared interaction,shared name
AAAS,NXF1,0.435,0,0.034,0.142,0.496,0.344,0.013,0.435,interacts-with,AAAS (interacts-with) NXF1,FALSE,interacts-with,AAAS (interacts-with) NXF1
AAAS,SMPD4,0.355,0,0.075,0.281,0.429,0.35,0.08,0.355,interacts-with,AAAS (interacts-with) SMPD4,FALSE,interacts-with,AAAS (interacts-with) SMPD4
AAAS,TMEM209,0.53,0,0.021,0.168,0.481,0.392,0.036,0.53,interacts-with,AAAS (interacts-with) TMEM209,FALSE,interacts-with,AAAS (interacts-with) TMEM209
LSM4,PDCD7,0.184,0,0.078,0.166,0.4,0.129,0.101,0.184,interacts-with,LSM4 (interacts-with) PDCD7,FALSE,interacts-with,LSM4 (interacts-with) PDCD7
LSM4,PRPF31,0.53,0,0.054,0.316,0.432,0.293,0.589,0.53,interacts-with,LSM4 (interacts-with) PRPF31,FALSE,interacts-with,LSM4 (interacts-with) PRPF31
LSM4,PRPF4,0.515,0,0.072,0.25,0.444,0.255,0.541,0.515,interacts-with,LSM4 (interacts-with) PRPF4,FALSE,interacts-with,LSM4 (interacts-with) PRPF4
LSM4,PRPF6,0.437,0,0.064,0.283,0.414,0.251,0.527,0.437,interacts-with,LSM4 (interacts-with) PRPF6,FALSE,interacts-with,LSM4 (interacts-with) PRPF6
TWF1,WDR1,0.273,0,0.096,0.158,0.423,0.243,0.003,0.273,interacts-with,TWF1 (interacts-with) WDR1,FALSE,interacts-with,TWF1 (interacts-with) WDR1
PKP4,TRIM41,0.215,0,0.056,0.197,0.353,0.209,0.146,0.215,interacts-with,PKP4 (interacts-with) TRIM41,FALSE,interacts-with,PKP4 (interacts-with) TRIM41
LSM4,PRPF3,0.556,0,0.03,0.164,0.48,0.166,0.543,0.556,interacts-with,LSM4 (interacts-with) PRPF3,FALSE,interacts-with,LSM4 (interacts-with) PRPF3
LSM4,SART1,0.413,0,0.036,0.304,0.434,0.279,0.463,0.413,interacts-with,LSM4 (interacts-with) SART1,FALSE,interacts-with,LSM4 (interacts-with) SART1
LSM4,SNRPA,0.527,0,0.289,0.341,0.49,0.383,0.075,0.527,interacts-with,LSM4 (interacts-with) SNRPA,FALSE,interacts-with,LSM4 (interacts-with) SNRPA
GNAI1,GNG4,0.262,0,0.045,0.165,0.435,0.173,0.076,0.262,interacts-with,GNAI1 (interacts-with) GNG4,FALSE,interacts-with,GNAI1 (interacts-with) GNG4
GNAI1,GPSM1,0.531,0,0.09,0.108,0.49,0.142,0.457,0.531,interacts-with,GNAI1 (interacts-with) GPSM1,FALSE,interacts-with,GNAI1 (interacts-with) GPSM1
GNAI1,RAP1GAP,0.2,0,0.034,0.118,0.433,0.079,0.015,0.2,interacts-with,GNAI1 (interacts-with) RAP1GAP,FALSE,interacts-with,GNAI1 (interacts-with) RAP1GAP
GNAI1,RIC8A,0.414,0,0.165,0.069,0.537,0.211,0.036,0.414,interacts-with,GNAI1 (interacts-with) RIC8A,FALSE,interacts-with,GNAI1 (interacts-with) RIC8A
LSM5,LSM6,0.534,0,0.545,0.357,0.418,0.086,0.638,0.534,interacts-with,LSM5 (interacts-with) LSM6,FALSE,interacts-with,LSM5 (interacts-with) LSM6
LSM5,PRPF31,0.351,0,0.027,0.26,0.168,0.091,0.529,0.351,interacts-with,LSM5 (interacts-with) PRPF31,FALSE,interacts-with,LSM5 (interacts-with) PRPF31
LSM5,PRPF3,0.293,0,0.016,0.192,0.407,0.084,0.425,0.293,interacts-with,LSM5 (interacts-with) PRPF3,FALSE,interacts-with,LSM5 (interacts-with) PRPF3
LSM5,PRPF4,0.258,0,0.134,0.254,0.325,0.09,0.42,0.258,interacts-with,LSM5 (interacts-with) PRPF4,FALSE,interacts-with,LSM5 (interacts-with) PRPF4
LSM5,PRPF6,0.253,0,0.078,0.215,0.17,0.075,0.426,0.253,interacts-with,LSM5 (interacts-with) PRPF6,FALSE,interacts-with,LSM5 (interacts-with) PRPF6
LSM5,SART1,0.452,0,0.355,0.179,0.367,0.088,0.465,0.452,interacts-with,LSM5 (interacts-with) SART1,FALSE,interacts-with,LSM5 (interacts-with) SART1
LSM5,SNRPA,0.256,0,0.154,0.314,0.347,0.083,0.106,0.256,interacts-with,LSM5 (interacts-with) SNRPA,FALSE,interacts-with,LSM5 (interacts-with) SNRPA
LSM5,USP39,0.331,0,0.514,0.296,0.066,0.082,0.072,0.331,interacts-with,LSM5 (interacts-with) USP39,FALSE,interacts-with,LSM5 (interacts-with) USP39
DHX30,DHX57,0.388,0,0.016,0.381,0.44,0.11,0.036,0.388,interacts-with,DHX30 (interacts-with) DHX57,FALSE,interacts-with,DHX30 (interacts-with) DHX57
LSM6,PDCD7,0.221,0,0.017,0.21,0.42,0.082,0.161,0.221,interacts-with,LSM6 (interacts-with) PDCD7,FALSE,interacts-with,LSM6 (interacts-with) PDCD7
LSM6,PRPF8,0.402,0,0.017,0.268,0.399,0.38,0.522,0.402,interacts-with,LSM6 (interacts-with) PRPF8,FALSE,interacts-with,LSM6 (interacts-with) PRPF8
LSM6,PRPF31,0.552,0,0.061,0.276,0.448,0.249,0.6,0.552,interacts-with,LSM6 (interacts-with) PRPF31,FALSE,interacts-with,LSM6 (interacts-with) PRPF31
LSM6,PRPF3,0.71,0,0.021,0.195,0.521,0.237,0.589,0.71,interacts-with,LSM6 (interacts-with) PRPF3,FALSE,interacts-with,LSM6 (interacts-with) PRPF3
LSM6,PRPF4,0.648,0,0.111,0.27,0.478,0.137,0.599,0.648,interacts-with,LSM6 (interacts-with) PRPF4,FALSE,interacts-with,LSM6 (interacts-with) PRPF4
LSM6,PRPF6,0.476,0,0.028,0.23,0.405,0.327,0.542,0.476,interacts-with,LSM6 (interacts-with) PRPF6,FALSE,interacts-with,LSM6 (interacts-with) PRPF6
LSM6,RNPC3,0.206,0,0.439,0.201,0.404,0.14,0.118,0.206,interacts-with,LSM6 (interacts-with) RNPC3,FALSE,interacts-with,LSM6 (interacts-with) RNPC3
LSM6,SART1,0.678,0,0.265,0.272,0.457,0.188,0.552,0.678,interacts-with,LSM6 (interacts-with) SART1,FALSE,interacts-with,LSM6 (interacts-with) SART1
LSM6,SNRPA,0.419,0,0.13,0.349,0.451,0.291,0.012,0.419,interacts-with,LSM6 (interacts-with) SNRPA,FALSE,interacts-with,LSM6 (interacts-with) SNRPA
CDC73,CTR9,0.798,0,0.41,0.195,0.61,0.501,0.106,0.798,interacts-with,CDC73 (interacts-with) CTR9,FALSE,interacts-with,CDC73 (interacts-with) CTR9
DHX30,MOV10,0.423,0,0.05,0.132,0.47,0.196,0.099,0.423,interacts-with,DHX30 (interacts-with) MOV10,FALSE,interacts-with,DHX30 (interacts-with) MOV10
UBAC2,UBXN4,0.225,0,0.096,0.324,0.137,0.291,0.006,0.225,interacts-with,UBAC2 (interacts-with) UBXN4,FALSE,interacts-with,UBAC2 (interacts-with) UBXN4
UBAC2,VAPA,0.217,0,0.054,0.171,0.235,0.293,0.003,0.217,interacts-with,UBAC2 (interacts-with) VAPA,FALSE,interacts-with,UBAC2 (interacts-with) VAPA
LSM6,USP39,0.235,0,0.457,0.323,0.193,0.176,0.124,0.235,interacts-with,LSM6 (interacts-with) USP39,FALSE,interacts-with,LSM6 (interacts-with) USP39
DHX30,NVL,0.268,0,0.062,0.322,0.405,0.124,0.072,0.268,interacts-with,DHX30 (interacts-with) NVL,FALSE,interacts-with,DHX30 (interacts-with) NVL
CDC73,LEO1,0.821,0,0.248,0.181,0.674,0.449,0.079,0.821,interacts-with,CDC73 (interacts-with) LEO1,FALSE,interacts-with,CDC73 (interacts-with) LEO1
PLEC,PPP1R12A,0.362,0,0.002,0.131,0.415,0.4,0.106,0.362,interacts-with,PLEC (interacts-with) PPP1R12A,FALSE,interacts-with,PLEC (interacts-with) PPP1R12A
PLEC,PLEKHG3,0.2,0,0.002,0.161,0.404,0.155,0.036,0.2,interacts-with,PLEC (interacts-with) PLEKHG3,FALSE,interacts-with,PLEC (interacts-with) PLEKHG3
DHX30,PUM3,0.193,0,0.017,0.245,0.415,0.162,0.074,0.193,interacts-with,DHX30 (interacts-with) PUM3,FALSE,interacts-with,DHX30 (interacts-with) PUM3
UBE2A,USP7,0.222,0,0.004,0.316,0.313,0.107,0.112,0.222,interacts-with,UBE2A (interacts-with) USP7,FALSE,interacts-with,UBE2A (interacts-with) USP7
UBE2A,UBR2,0.591,0,0.004,0.229,0.462,0.135,0.48,0.591,interacts-with,UBE2A (interacts-with) UBR2,FALSE,interacts-with,UBE2A (interacts-with) UBR2
PLEC,SPECC1,0.185,0,0.025,0.091,0.391,0.234,0.036,0.185,interacts-with,PLEC (interacts-with) SPECC1,FALSE,interacts-with,PLEC (interacts-with) SPECC1
PLEC,SPTBN1,0.189,0,0.003,0.194,0.397,0.112,0.074,0.189,interacts-with,PLEC (interacts-with) SPTBN1,FALSE,interacts-with,PLEC (interacts-with) SPTBN1
CDC73,NUP107,0.224,0,0.191,0.229,0.207,0.267,0.097,0.224,interacts-with,CDC73 (interacts-with) NUP107,FALSE,interacts-with,CDC73 (interacts-with) NUP107
CDC73,NUP133,0.271,0,0.261,0.336,0.207,0.304,0.082,0.271,interacts-with,CDC73 (interacts-with) NUP133,FALSE,interacts-with,CDC73 (interacts-with) NUP133
CDC73,NUP155,0.221,0,0.047,0.222,0.335,0.121,0.115,0.221,interacts-with,CDC73 (interacts-with) NUP155,FALSE,interacts-with,CDC73 (interacts-with) NUP155
CDC73,NUP160,0.255,0,0.127,0.313,0.211,0.327,0.339,0.255,interacts-with,CDC73 (interacts-with) NUP160,FALSE,interacts-with,CDC73 (interacts-with) NUP160
CDC73,NUP205,0.272,0,0.049,0.262,0.192,0.39,0.011,0.272,interacts-with,CDC73 (interacts-with) NUP205,FALSE,interacts-with,CDC73 (interacts-with) NUP205
CDC73,NUP37,0.215,0,0.045,0.212,0.215,0.264,0.002,0.215,interacts-with,CDC73 (interacts-with) NUP37,FALSE,interacts-with,CDC73 (interacts-with) NUP37
PLEC,SVIL,0.239,0,0.039,0.237,0.4,0.22,0.015,0.239,interacts-with,PLEC (interacts-with) SVIL,FALSE,interacts-with,PLEC (interacts-with) SVIL
PLEC,WDR1,0.308,0,0.115,0.202,0.381,0.401,0.015,0.308,interacts-with,PLEC (interacts-with) WDR1,FALSE,interacts-with,PLEC (interacts-with) WDR1
PLEC,TWF1,0.282,0,0.192,0.265,0.429,0.152,0.006,0.282,interacts-with,PLEC (interacts-with) TWF1,FALSE,interacts-with,PLEC (interacts-with) TWF1
DHX30,SKIV2L,0.233,0,0.064,0.224,0.376,0.126,0.11,0.233,interacts-with,DHX30 (interacts-with) SKIV2L,FALSE,interacts-with,DHX30 (interacts-with) SKIV2L
PLEKHG3,SVIL,0.21,0,0.024,0.195,0.391,0.087,0.036,0.21,interacts-with,PLEKHG3 (interacts-with) SVIL,FALSE,interacts-with,PLEKHG3 (interacts-with) SVIL
PLEKHG3,TWF1,0.293,0,0.013,0.188,0.426,0.227,0.036,0.293,interacts-with,PLEKHG3 (interacts-with) TWF1,FALSE,interacts-with,PLEKHG3 (interacts-with) TWF1
PLEKHG3,RAI14,0.201,0,0.026,0.188,0.411,0.124,0.036,0.201,interacts-with,PLEKHG3 (interacts-with) RAI14,FALSE,interacts-with,PLEKHG3 (interacts-with) RAI14
CDC73,SMPD4,0.192,0,0.028,0.188,0.129,0.333,0.003,0.192,interacts-with,CDC73 (interacts-with) SMPD4,FALSE,interacts-with,CDC73 (interacts-with) SMPD4
DHX30,WDR6,0.217,0,0.139,0.347,0.201,0.18,0.096,0.217,interacts-with,DHX30 (interacts-with) WDR6,FALSE,interacts-with,DHX30 (interacts-with) WDR6
CDC73,SUPT6H,0.205,0,0.002,0.158,0.179,0.314,0.098,0.205,interacts-with,CDC73 (interacts-with) SUPT6H,FALSE,interacts-with,CDC73 (interacts-with) SUPT6H
DHX30,XPC,0.214,0,0.021,0.206,0.23,0.269,0.003,0.214,interacts-with,DHX30 (interacts-with) XPC,FALSE,interacts-with,DHX30 (interacts-with) XPC
DHX30,ZC3H8,0.223,0,0.064,0.286,0.35,0.174,0.089,0.223,interacts-with,DHX30 (interacts-with) ZC3H8,FALSE,interacts-with,DHX30 (interacts-with) ZC3H8
CDC73,WDR61,0.665,0,0.227,0.267,0.634,0.215,0.013,0.665,interacts-with,CDC73 (interacts-with) WDR61,FALSE,interacts-with,CDC73 (interacts-with) WDR61
UBN1,UBN2,0.277,0,0.033,0.298,0.404,0.15,0.148,0.277,interacts-with,UBN1 (interacts-with) UBN2,FALSE,interacts-with,UBN1 (interacts-with) UBN2
UBR2,USP15,0.21,0,0.078,0.283,0.161,0.298,0.003,0.21,interacts-with,UBR2 (interacts-with) USP15,FALSE,interacts-with,UBR2 (interacts-with) USP15
UBR5,XPO7,0.198,0,0.08,0.267,0.243,0.163,0.013,0.198,interacts-with,UBR5 (interacts-with) XPO7,FALSE,interacts-with,UBR5 (interacts-with) XPO7
UPF1,XRN1,0.645,0,0.055,0.184,0.487,0.086,0.475,0.645,interacts-with,UPF1 (interacts-with) XRN1,FALSE,interacts-with,UPF1 (interacts-with) XRN1
GNG4,RAP1GAP,0.373,0,0.06,0.097,0.469,0.069,0.004,0.373,interacts-with,GNG4 (interacts-with) RAP1GAP,FALSE,interacts-with,GNG4 (interacts-with) RAP1GAP
PLOD1,PLOD3,0.437,0,0.096,0.485,0.298,0.536,0.006,0.437,interacts-with,PLOD1 (interacts-with) PLOD3,FALSE,interacts-with,PLOD1 (interacts-with) PLOD3
USP7,USP15,0.193,0,0.1,0.2,0.358,0.13,0.002,0.193,interacts-with,USP7 (interacts-with) USP15,FALSE,interacts-with,USP7 (interacts-with) USP15
DHX57,MPHOSPH10,0.25,0,0.041,0.349,0.295,0.305,0.036,0.25,interacts-with,DHX57 (interacts-with) MPHOSPH10,FALSE,interacts-with,DHX57 (interacts-with) MPHOSPH10
DHX57,NVL,0.272,0,0.042,0.271,0.422,0.208,0.036,0.272,interacts-with,DHX57 (interacts-with) NVL,FALSE,interacts-with,DHX57 (interacts-with) NVL
DHX57,PDCD11,0.322,0,0.075,0.303,0.359,0.416,0.036,0.322,interacts-with,DHX57 (interacts-with) PDCD11,FALSE,interacts-with,DHX57 (interacts-with) PDCD11
VAMP3,VTI1B,0.402,0,0.014,0.242,0.454,0.168,0.236,0.402,interacts-with,VAMP3 (interacts-with) VTI1B,FALSE,interacts-with,VAMP3 (interacts-with) VTI1B
VAPA,VAPB,0.778,0,0.061,0.239,0.667,0.309,0.342,0.778,interacts-with,VAPA (interacts-with) VAPB,FALSE,interacts-with,VAPA (interacts-with) VAPB
DHX57,SENP3,0.259,0,0.008,0.316,0.307,0.275,0.036,0.259,interacts-with,DHX57 (interacts-with) SENP3,FALSE,interacts-with,DHX57 (interacts-with) SENP3
DHX57,SKIV2L,0.184,0,0.04,0.152,0.404,0.114,0.036,0.184,interacts-with,DHX57 (interacts-with) SKIV2L,FALSE,interacts-with,DHX57 (interacts-with) SKIV2L
DHX57,RRP9,0.2,0,0.096,0.258,0.282,0.214,0.036,0.2,interacts-with,DHX57 (interacts-with) RRP9,FALSE,interacts-with,DHX57 (interacts-with) RRP9
DHX57,YTHDC2,0.295,0,0.025,0.249,0.433,0.14,0.036,0.295,interacts-with,DHX57 (interacts-with) YTHDC2,FALSE,interacts-with,DHX57 (interacts-with) YTHDC2
PNKP,POLB,0.628,0,0.002,0.139,0.642,0.221,0.016,0.628,interacts-with,PNKP (interacts-with) POLB,FALSE,interacts-with,PNKP (interacts-with) POLB
PNKP,RAD50,0.187,0,0.347,0.118,0.216,0.208,0.157,0.187,interacts-with,PNKP (interacts-with) RAD50,FALSE,interacts-with,PNKP (interacts-with) RAD50
PNKP,XRCC1,0.689,0,0.386,0.298,0.576,0.409,0.003,0.689,interacts-with,PNKP (interacts-with) XRCC1,FALSE,interacts-with,PNKP (interacts-with) XRCC1
PNKP,XRCC5,0.3,0,0.198,0.133,0.441,0.104,0.106,0.3,interacts-with,PNKP (interacts-with) XRCC5,FALSE,interacts-with,PNKP (interacts-with) XRCC5
WASL,WIPF2,0.551,0,0.05,0.169,0.488,0.432,0.534,0.551,interacts-with,WASL (interacts-with) WIPF2,FALSE,interacts-with,WASL (interacts-with) WIPF2
WASL,WIPF1,0.659,0,0.032,0.274,0.533,0.078,0.584,0.659,interacts-with,WASL (interacts-with) WIPF1,FALSE,interacts-with,WASL (interacts-with) WIPF1
CDH2,CTNNA1,0.537,0,0.05,0.167,0.509,0.195,0.091,0.537,interacts-with,CDH2 (interacts-with) CTNNA1,FALSE,interacts-with,CDH2 (interacts-with) CTNNA1
WDR1,ZYX,0.333,0,0.062,0.326,0.068,0.459,0.09,0.333,interacts-with,WDR1 (interacts-with) ZYX,FALSE,interacts-with,WDR1 (interacts-with) ZYX
WDR26,YPEL5,0.723,0,0.631,0.174,0.509,0.509,0.007,0.723,interacts-with,WDR26 (interacts-with) YPEL5,FALSE,interacts-with,WDR26 (interacts-with) YPEL5
POC1A,STMN1,0.187,0,0.039,0.425,0.105,0.042,0.008,0.187,interacts-with,POC1A (interacts-with) STMN1,FALSE,interacts-with,POC1A (interacts-with) STMN1
WIPF1,WIPF2,0.415,0,0.091,0.099,0.522,0.075,0.087,0.415,interacts-with,WIPF1 (interacts-with) WIPF2,FALSE,interacts-with,WIPF1 (interacts-with) WIPF2
WIZ,ZNF644,0.443,0,0.043,0.181,0.471,0.113,0.036,0.443,interacts-with,WIZ (interacts-with) ZNF644,FALSE,interacts-with,WIZ (interacts-with) ZNF644
POGZ,RBBP5,0.263,0,0.089,0.356,0.255,0.471,0,0.263,interacts-with,POGZ (interacts-with) RBBP5,FALSE,interacts-with,POGZ (interacts-with) RBBP5
WTAP,ZC3H13,0.556,0,0.026,0.137,0.441,0.499,0.099,0.556,interacts-with,WTAP (interacts-with) ZC3H13,FALSE,interacts-with,WTAP (interacts-with) ZC3H13
MAEA,MKLN1,0.552,0,0.096,0.102,0.549,0.136,0.404,0.552,interacts-with,MAEA (interacts-with) MKLN1,FALSE,interacts-with,MAEA (interacts-with) MKLN1
XPO1,XPO7,0.261,0,0.024,0.252,0.215,0.296,0.376,0.261,interacts-with,XPO1 (interacts-with) XPO7,FALSE,interacts-with,XPO1 (interacts-with) XPO7
XPC,YTHDC2,0.187,0,0.288,0.191,0.233,0.181,0.095,0.187,interacts-with,XPC (interacts-with) YTHDC2,FALSE,interacts-with,XPC (interacts-with) YTHDC2
MAEA,RANBP9,0.728,0,0.249,0.095,0.61,0.43,0.405,0.728,interacts-with,MAEA (interacts-with) RANBP9,FALSE,interacts-with,MAEA (interacts-with) RANBP9
MAEA,RANBP10,0.469,0,0.065,0.127,0.522,0.328,0.409,0.469,interacts-with,MAEA (interacts-with) RANBP10,FALSE,interacts-with,MAEA (interacts-with) RANBP10
MAEA,RMND5A,0.824,0,0.027,0.152,0.835,0.482,0.036,0.824,interacts-with,MAEA (interacts-with) RMND5A,FALSE,interacts-with,MAEA (interacts-with) RMND5A
MAEA,YPEL5,0.566,0,0.52,0.084,0.537,0.298,0.014,0.566,interacts-with,MAEA (interacts-with) YPEL5,FALSE,interacts-with,MAEA (interacts-with) YPEL5
MAEA,WDR26,0.558,0,0.562,0.117,0.525,0.291,0.424,0.558,interacts-with,MAEA (interacts-with) WDR26,FALSE,interacts-with,MAEA (interacts-with) WDR26
XRCC1,XRCC5,0.271,0,0.022,0.227,0.414,0.19,0.127,0.271,interacts-with,XRCC1 (interacts-with) XRCC5,FALSE,interacts-with,XRCC1 (interacts-with) XRCC5
POLD1,POLE,0.362,0,0.091,0.536,0.167,0.351,0.521,0.362,interacts-with,POLD1 (interacts-with) POLE,FALSE,interacts-with,POLD1 (interacts-with) POLE
POLB,XRCC1,0.8,0,0.048,0.119,0.617,0.441,0.342,0.8,interacts-with,POLB (interacts-with) XRCC1,FALSE,interacts-with,POLB (interacts-with) XRCC1
POLB,XRCC5,0.22,0,0.018,0.145,0.425,0.212,0.191,0.22,interacts-with,POLB (interacts-with) XRCC5,FALSE,interacts-with,POLB (interacts-with) XRCC5
POLD1,RFC1,0.315,0,0.088,0.293,0.29,0.291,0.436,0.315,interacts-with,POLD1 (interacts-with) RFC1,FALSE,interacts-with,POLD1 (interacts-with) RFC1
POLD1,RFC4,0.452,0,0.327,0.462,0.253,0.455,0.434,0.452,interacts-with,POLD1 (interacts-with) RFC4,FALSE,interacts-with,POLD1 (interacts-with) RFC4
YWHAG,YWHAH,0.722,0,0.031,0.293,0.57,0.502,0.005,0.722,interacts-with,YWHAG (interacts-with) YWHAH,FALSE,interacts-with,YWHAG (interacts-with) YWHAH
POLD1,WRNIP1,0.216,0,0.019,0.181,0.089,0.273,0.434,0.216,interacts-with,POLD1 (interacts-with) WRNIP1,FALSE,interacts-with,POLD1 (interacts-with) WRNIP1
ZMYM2,ZNF644,0.283,0,0.054,0.328,0.216,0.395,0.036,0.283,interacts-with,ZMYM2 (interacts-with) ZNF644,FALSE,interacts-with,ZMYM2 (interacts-with) ZNF644
ZMYM3,ZMYM4,0.32,0,0.004,0.337,0.103,0.453,0.083,0.32,interacts-with,ZMYM3 (interacts-with) ZMYM4,FALSE,interacts-with,ZMYM3 (interacts-with) ZMYM4
ZMYM2,ZMYM3,0.376,0,0.008,0.288,0.44,0.275,0.036,0.376,interacts-with,ZMYM2 (interacts-with) ZMYM3,FALSE,interacts-with,ZMYM2 (interacts-with) ZMYM3
ZMYM4,ZNF644,0.19,0,0.036,0.339,0.101,0.263,0.036,0.19,interacts-with,ZMYM4 (interacts-with) ZNF644,FALSE,interacts-with,ZMYM4 (interacts-with) ZNF644
ABI1,BAIAP2,0.339,0,0.029,0.09,0.513,0.084,0.012,0.339,interacts-with,ABI1 (interacts-with) BAIAP2,FALSE,interacts-with,ABI1 (interacts-with) BAIAP2
ABI1,CAPN2,0.189,0,0.06,0.168,0.203,0.242,0,0.189,interacts-with,ABI1 (interacts-with) CAPN2,FALSE,interacts-with,ABI1 (interacts-with) CAPN2
ABI1,CYFIP2,0.185,0,0.012,0.106,0.37,0.303,0.077,0.185,interacts-with,ABI1 (interacts-with) CYFIP2,FALSE,interacts-with,ABI1 (interacts-with) CYFIP2
CDK2AP1,CHD3,0.606,0,0.06,0.14,0.558,0.359,0.208,0.606,interacts-with,CDK2AP1 (interacts-with) CHD3,FALSE,interacts-with,CDK2AP1 (interacts-with) CHD3
CDK2AP1,CHD4,0.692,0,0.131,0.179,0.521,0.47,0.454,0.692,interacts-with,CDK2AP1 (interacts-with) CHD4,FALSE,interacts-with,CDK2AP1 (interacts-with) CHD4
CDK2AP1,CREBBP,0.183,0,0.102,0.13,0.208,0.331,0.096,0.183,interacts-with,CDK2AP1 (interacts-with) CREBBP,FALSE,interacts-with,CDK2AP1 (interacts-with) CREBBP
CDK2AP1,EHMT2,0.262,0,0.104,0.125,0.244,0.401,0.004,0.262,interacts-with,CDK2AP1 (interacts-with) EHMT2,FALSE,interacts-with,CDK2AP1 (interacts-with) EHMT2
ABI1,NCKAP1,0.816,0,0.406,0.291,0.662,0.437,0.411,0.816,interacts-with,ABI1 (interacts-with) NCKAP1,FALSE,interacts-with,ABI1 (interacts-with) NCKAP1
CDK2AP1,GATAD2A,0.775,0,0.171,0.141,0.577,0.435,0.163,0.775,interacts-with,CDK2AP1 (interacts-with) GATAD2A,FALSE,interacts-with,CDK2AP1 (interacts-with) GATAD2A
CDK2AP1,GATAD2B,0.724,0,0.177,0.109,0.613,0.45,0.001,0.724,interacts-with,CDK2AP1 (interacts-with) GATAD2B,FALSE,interacts-with,CDK2AP1 (interacts-with) GATAD2B
CDK2AP1,HMG20A,0.411,0,0.015,0.129,0.472,0.309,0.036,0.411,interacts-with,CDK2AP1 (interacts-with) HMG20A,FALSE,interacts-with,CDK2AP1 (interacts-with) HMG20A
CDK2AP1,HMG20B,0.339,0,0.046,0.139,0.426,0.393,0.015,0.339,interacts-with,CDK2AP1 (interacts-with) HMG20B,FALSE,interacts-with,CDK2AP1 (interacts-with) HMG20B
CDK2AP1,HDAC1,0.614,0,0.081,0.134,0.675,0.417,0.075,0.614,interacts-with,CDK2AP1 (interacts-with) HDAC1,FALSE,interacts-with,CDK2AP1 (interacts-with) HDAC1
